,longitude,latitude,full_geoid,geoid
287,-73.9078018,40.7577514,360810163001002,36081016300
288,-73.9732647,40.795419,360610183001009,36061018300
289,-73.9774632,40.758178,360610104001006,36061010400
290,-73.9256277,40.8235819,360050063014000,36005006301
291,-73.9343016,40.7588375,360810047002001,36081004700
292,-73.9364854,40.772845,360810087001000,36081008700
293,-74.0046412,40.7179653,360610033004003,36061003300
294,-73.9835939,40.7761675,360610155011000,36061015501
295,-73.948456,40.7539352,360810019031006,36081001903
296,-73.9724629,40.7694526,360610143001030,36061014300
297,-73.9483015,40.8172015,360610217031005,36061021703
298,-73.9054997,40.8412329,360050171001000,36005017100
299,-73.9947492,40.6503067,360470175001000,36047017500
300,-73.9841509,40.7700709,360610145004000,36061014500
301,-73.9053083,40.9125752,360050319001000,36005031900
302,-73.9317468,40.7839257,360610240002006,36061024000
303,-74.0112029,40.716707,360610039004000,36061003900
304,-73.9593025,40.7439476,360810001012001,36081000101
305,-73.976574,40.793329,360610179003000,36061017900
306,-74.0095216,40.7495499,360610099012002,36061009901
307,-73.9069806,40.8064003,360050019032003,36005001903
308,-73.9739286,40.6520708,360470504011000,36047050401
309,-73.9108357,40.6628339,360470924003000,36047092400
310,-73.9231431,40.7931077,360610240001011,36061024000
311,-74.000253,40.6900257,360470047001002,36047004700
312,-73.9082265,40.8184196,360050075003000,36005007500
313,-73.9260051,40.7699845,360810071001002,36081007100
314,-73.9271943,40.7685265,360810079001002,36081007900
315,-73.9105128,40.8107722,360050037001000,36005003700
316,-73.9793545,40.7717783,360610149003000,36061014900
317,-73.9621107,40.8063821,360610203002001,36061020300
318,-73.9788936,40.7281291,360610028002000,36061002800
319,-73.9607832,40.7566032,360610106016002,36061010601
320,-73.9070692,40.7578667,360810295001001,36081029500
321,-73.9992979,40.7594406,360610117001004,36061011700
322,-74.002028,40.7540128,360610099032017,36061009903
323,-73.9763185,40.7297631,360610044003000,36061004400
324,-73.9940324,40.7201762,360610018005003,36061001800
325,-73.9296298,40.7623709,360810045003001,36081004500
326,-73.9997273,40.7495273,360610097002002,36061009700
327,-74.0171688,40.7075598,360610317044000,36061031704
328,-73.9305875,40.7849084,360610240002006,36061024000
329,-74.0155671,40.7047358,360610013002005,36061001300
330,-73.9711299,40.7468088,360610086013004,36061008601
331,-73.931772,40.655273,360470868002003,36047086800
332,-73.9868689,40.771671,360610147001000,36061014700
333,-74.0115904,40.7034037,360610009001016,36061000900
334,-73.919271,40.694731,360470417004000,36047041700
335,-73.9897945,40.7101978,360610006002002,36061000600
336,-73.9514227,40.7495689,360810019031023,36081001903
337,-73.95578,40.715702,360470519002001,36047051900
338,-73.91465,40.72648,360810219001004,36081021900
339,-73.9084956,40.8935667,360050335002006,36005033500
340,-73.9376878,40.7080502,360470485001014,36047048500
341,-73.9414651,40.7147037,360470481003001,36047048100
342,-73.9331494,40.6679306,360470351021001,36047035102
343,-73.902056,40.828197,360050135003003,36005013500
344,-73.9068426,40.8769028,360050289001004,36005028900
345,-73.9989452,40.6614633,360470101003000,36047010100
346,-73.9610223,40.8098727,360610203002000,36061020300
347,-73.9799981,40.6607569,360470169001000,36047016900
348,-73.9318549,40.8542819,360610279004001,36061027900
349,-73.9068304,40.8448796,360050229015002,36005022901
350,-73.9786359,40.732546,360610044005001,36061004400
351,-73.9964491,40.6939665,360470005013001,36047000501
352,-73.9556051,40.7626138,360610116001007,36061011600
353,-73.9287954,40.7538071,360810055001001,36081005500
354,-73.9561284,40.7104253,360470513004007,36047051300
355,-73.9283636,40.7625109,360810053002001,36081005300
356,-73.9505117,40.7290459,360470573003000,36047057300
357,-73.9881776,40.718738,360610018003001,36061001800
358,-73.9987568,40.7119582,360610027001006,36061002700
359,-73.9198931,40.7753623,360810095002013,36081009500
360,-73.9728124,40.6979393,360470543001039,36047054300
361,-73.9108245,40.8453702,360050229011001,36005022901
362,-73.9238882,40.7775009,360810099001002,36081009900
